index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,1000000.0_daily_basic_earning_in_$,1000000.0_daily_basic_earning_in_BPS,total_liquidity_pool_size_in_$,1000000.0_daily_mining_reward_in_BPS,1000000.0_daily_mining_reward_in_$,token_zero_delta_exchange,token_zero_delta_hedge_type,token_zero_delta_base_currency,token_zero_delta_symbol,token_zero_delta_bid_price,token_zero_delta_timestamp,token_zero_delta_funding_rate,token_zero_delta_next_funding_rate_time,token_zero_delta_fee_rate,1000000.0_token_zero_delta_hedge_min_fees,token_one_delta_exchange,token_one_delta_hedge_type,token_one_delta_base_currency,token_one_delta_symbol,token_one_delta_bid_price,token_one_delta_timestamp,token_one_delta_funding_rate,token_one_delta_next_funding_rate_time,token_one_delta_fee_rate,1000000.0_token_one_delta_hedge_min_fees,1000000.0_base_hedging_costs_in_$,1000000.0_impermanent_loss_in_amount_to_short,1000000.0_impermanent_loss_downside_covered
12.0,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10.0,1.0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,29.16K,49.56,673904.11K,534556.9K,672341.55K,30.37K,0.17,0.07,0.0,532413.74K,0.0,0.42,FTX,Perpetual,ALPHA,ALPHA-PERP,0.11245,1970-01-19 19:58:37,9e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
13.0,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,600.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,41024.29K,69.74K,551.15K,532.3K,548.0K,20512.14K,0.17,44.96K,449.62,529.64K,88.41,8.84K,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,-1.092902926051109e+102,-0.3187495289821306
14.0,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,50.0,1.0,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,575.71K,980.0,6367.76K,6137.9K,6426.47K,592.14K,0.17,133.01,1.33,6194.62K,1.57,156.64,FTX,Perpetual,XRP,XRP-PERP,0.321375,1970-01-19 19:58:37,3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
15.0,0x014608E87AF97a054C9a49f81E1473076D51d9a3,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,538.57K,914.29,4443.97K,4202.51K,4101.11K,504.29K,0.17,167.94,1.68,3864.08K,2.33,232.9,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,UNI,UNI-PERP,5.122,1970-01-19 19:58:37,-3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
16.0,0x1BdCebcA3b93af70b58C41272AEa2231754B23ca,10.0,1.0,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,70.22K,119.38,81877.08K,67995.54K,82533.76K,84.15K,0.17,1.44,0.01,68542.78K,0.03,3.24,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
17.0,0xD8E2F8b6Db204c405543953Ef6359912FE3A88d6,10.0,1.0,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,781.52K,621.94K,732.92K,0.0,0.17,1.44,0.01,573.07K,1.43,143.44,FTX,Perpetual,SXP,SXP-PERP,0.408,1970-01-19 19:58:37,-1.9e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
18.0,0x133ee93FE93320e1182923E1a640912eDE17C90C,10.0,1.0,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,251.43K,427.14,3109.77K,2329.22K,3129.59K,125.71K,0.17,103.93,1.04,2342.13K,0.67,67.44,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
19.0,0x66FDB2eCCfB58cF098eaa419e5EfDe841368e489,10.0,1.0,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,9657.99K,7403.27K,10098.33K,100.71K,0.17,103.93,1.04,7844.63K,0.26,25.54,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
20.0,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,100.0,1.0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,130488.18K,120045.11K,133138.34K,1288.57K,0.17,103.93,1.04,122678.37K,0.18,18.23,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
21.0,0x71b01eBdDD797c8E9E0b003ea2f4FD207fBF46cC,10.0,1.0,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,LTC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,222.86K,380.0,1240.37K,1185.1K,1257.25K,111.43K,0.17,169.61,1.7,1201.21K,1.02,102.39,FTX,Perpetual,LTC,LTC-PERP,51.82,1970-01-19 19:58:37,-9e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
22.0,0xB2678C414ebC63c9CC6d1a0fC45f43E249B50fdE,10.0,1.0,0x78650B139471520656b9E7aA7A5e9276814a38e9,BTCST,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,67.9K,115.43,698.94K,612.91K,698.31K,69.79K,0.17,67.94,0.68,612.38K,1.4,139.79,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
23.0,0x05faf555522Fa3F93959F86B41A3808666093210,0.0,1.0,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,UST,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,142.55K,242.86,210.31K,139.02K,212.26K,146.99K,0.17,200.66,2.01,140.4K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-63544.84085154014,-0.30502621568108723
24.0,0xC5768c5371568Cf1114cddD52CAeD163A42626Ed,10.0,1.0,0x762539b45A1dCcE3D36d080F74d1AED37844b878,LINA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,391.43K,665.71,2345.74K,2139.67K,2330.61K,405.0K,0.17,198.97,1.99,2125.87K,0.72,72.11,FTX,Perpetual,LINA,LINA-PERP,0.008415,1970-01-19 19:58:37,-3.5e-05,2022-06-22 16:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-199464.915926204,-0.5431274464872026
25.0,0x942b294e59a8c47a0F7F20DF105B082710F7C305,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb,SFP,941.43K,1.6K,7761.46K,7571.62K,7703.48K,896.43K,0.17,182.62,1.83,7517.16K,1.32,132.32,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
26.0,0x16aFc4F2Ad82986bbE2a4525601F8199AB9c832D,10.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4,SUSHI,125.87K,214.29,918.2K,826.31K,943.38K,122.33K,0.17,111.71,1.12,850.75K,1.22,121.79,FTX,Perpetual,ETH,ETH-PERP,1074.2,1970-01-19 19:58:37,-3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,SUSHI,SUSHI-PERP,1.232,1970-01-19 19:58:37,-2.5e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
27.0,0xc13aA76AAc067c86aE38028019F414D731b3D86A,10.0,1.0,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,IOTX,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,325.71K,552.86,1194.62K,1142.65K,1180.51K,334.29K,0.17,251.91,2.52,1129.39K,1.06,105.85,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-211001.86288436138,-0.48929143874015024
28.0,0xE834bf723f5bDff34a5D1129F3c31Ea4787Bc76a,10.0,1.0,0x8519EA49c997f50cefFa444d240fB655e89248Aa,RAMP,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,155.71K,265.71,3211.81K,1833.63K,3273.06K,148.0K,0.17,63.09,0.63,1868.6K,0.79,78.58,FTX,Perpetual,RAMP,RAMP-PERP,0.0408,1970-01-19 19:58:37,-8.4e-05,2022-06-22 16:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-83853.39016068184,-0.49475355970021273
29.0,0xF3Bc6FC080ffCC30d93dF48BFA2aA14b869554bb,0.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,BELT,13.75K,23.37,3869.94K,11.05K,3919.42K,14.01K,0.17,4.8,0.05,11.19K,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
30.0,0xcAD7019D6d84a3294b0494aEF02e73BD0f2572Eb,50.0,1.0,0xAC51066d7bEC65Dc4589368da368b212745d63E8,ALICE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,1778.06K,1476.26K,1821.09K,150.71K,0.17,4.8,0.05,1511.9K,4.49,448.7,FTX,Perpetual,ALICE,ALICE-PERP,2.275,1970-01-19 19:58:37,-2.2e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
31.0,0x3f1A9f3D9aaD8bD339eD4853F345d2eF89fbfE0c,10.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,BIFI,501.43K,852.86,894.15K,870.54K,898.95K,508.57K,0.17,450.26,4.5,875.31K,1.2,120.19,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
32.0,0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e,10.0,1.0,0x9f589e3eabe42ebC94A44727b3f3531C0c877809,TKO,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,65.63K,111.57,1033.68K,851.28K,1039.15K,67.3K,0.17,54.86,0.55,855.75K,1.21,121.45,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
33.0,0xddE420cbB3794ebD8FFC3Ac69F9c78e5d1411870,10.0,1.0,0xA7f552078dcC247C2684336020c03648500C6d9F,EPS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,437.24K,289.22K,436.54K,5.1K,0.17,54.86,0.55,288.75K,1.75,174.89,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
34.0,0xE6b421a4408c82381b226Ab5B6F8C4b639044359,10.0,1.0,0x2222227E22102Fe3322098e4CBfE18cFebD57c95,TLM,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,36.86K,62.67,377.17K,283.36K,374.06K,37.06K,0.17,45.51,0.46,281.02K,1.76,175.95,FTX,Perpetual,TLM,TLM-PERP,0.02355,1970-01-19 19:58:37,-6.9e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
35.0,0x7752e1FA9F3a2e860856458517008558DEb989e3,100.0,1.0,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,ALPACA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,684.29K,1.16K,4675.83K,4607.15K,4662.81K,740.71K,0.17,204.88,2.05,4594.1K,4.03,402.91,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-120583.36950685122,-0.4160042632752603
36.0,0xF45cd219aEF8618A92BAa7aD848364a158a24F33,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,14114.29K,24.0K,55500.57K,53728.41K,51497.27K,14842.86K,0.17,424.7,4.25,49715.62K,1.12,111.85,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
37.0,0xac109C8025F272414fd9e2faA805a583708A017f,50.0,1.0,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,DOGE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,3792.26K,3452.45K,3856.05K,297.14K,0.17,424.7,4.25,3510.12K,2.5,249.89,FTX,Perpetual,DOGE,DOGE-PERP,0.062563,1970-01-19 19:58:37,-2e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
38.0,0xF23BAD605E94dE0e3B60c9718a43A94A5aF43915,10.0,1.0,0x4FA7163E153419E0E1064e418dd7A99314Ed27b6,HOTCROSS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,81.63K,138.77,883.99K,368.01K,874.33K,83.22K,0.17,73.66,0.74,354.59K,1.66,166.41,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
39.0,0x804678fa97d91B974ec2af3c843270886528a9E6,250.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,2635.71K,4.48K,9894.48K,9020.96K,9915.56K,2795.71K,0.17,411.35,4.11,9040.5K,5.61,561.19,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,1970-01-19 19:58:37,-3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-549532.9683946613,-0.5306269354829641
40.0,0x6045931E511EF7e53A4A817F971e0CA28c758809,50.0,1.0,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0xf9CeC8d50f6c8ad3Fb6dcCEC577e05aA32B224FE,CHR,0.0,0.0,2304.72K,1778.26K,2286.74K,0.0,0.17,411.35,4.11,1759.52K,4.08,408.42,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,CHR,CHR-PERP,0.19335,1970-01-19 19:58:37,9e-06,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,-340471.78327514324,-0.41766970756257643
41.0,0x2E28b9B74D6d99D4697e913b82B41ef1CAC51c6C,50.0,1.0,0x14016E85a25aeb13065688cAFB43044C2ef86784,TUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,142.86K,242.86,37794.46K,34098.09K,37940.97K,139.34K,0.17,6.26,0.06,34244.59K,0.32,31.97,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
42.0,0x8FA59693458289914dB0097F5F366d771B7a7C3F,100.0,1.0,0x3203c9E46cA618C8C1cE5dC67e7e9D75f5da2377,MBOX,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1438.57K,2.45K,21740.36K,21595.61K,22034.11K,1442.86K,0.17,107.61,1.08,21893.27K,0.98,98.46,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
43.0,0xD171B26E4484402de70e3Ea256bE5A2630d7e88D,100.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,1278.57K,2.17K,18844.41K,16403.26K,18776.31K,1467.86K,0.17,109.57,1.1,16270.41K,1.31,130.52,FTX,Perpetual,ETH,ETH-PERP,1074.2,1970-01-19 19:58:37,-3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
44.0,0xEa26B78255Df2bBC31C1eBf60010D78670185bD0,100.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0.0,0.0,16788.98K,16118.28K,16925.28K,0.0,0.17,109.57,1.1,16247.84K,1.31,130.68,FTX,Perpetual,ETH,ETH-PERP,1074.2,1970-01-19 19:58:37,-3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-108226.93557411437,-0.49976598506719694
45.0,0x89eE0491CE55d2f7472A97602a95426216167189,10.0,1.0,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,WOO,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,25.47K,23.7K,25.21K,208.57K,0.17,109.57,1.1,23.46K,2.2,220.22,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
